ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
China,2020-04-01T00:00:00.000Z,82724,3327,85290,103.8934731,36.51870146,China,中国,Chine,China,Китай,الصين
Republic of Korea,2020-04-01T00:00:00.000Z,9976,169,85291,127.8293439,36.36770228,Republic of Korea,大韩民国,République de Corée,República de Corea,Республика Корея,جمهورية كوريا
Australia,2020-04-01T00:00:00.000Z,4976,21,85292,134.490976,-25.73326023,Australia,澳大利亚,Australie,Australia,Австралия,أستراليا
Malaysia,2020-04-01T00:00:00.000Z,2908,45,85293,109.7115743,3.79382045,Malaysia,马来西亚,Malaisie,Malasia,Малайзия,ماليزيا
Japan,2020-04-01T00:00:00.000Z,2384,57,85294,137.9738703,37.53982621,Japan,日本,Japon,Japón,Япония,اليابان
Philippines,2020-04-01T00:00:00.000Z,2311,96,85295,122.8736074,11.74740203,Philippines,菲律宾,Philippines,Filipinas,Филиппины,الفلبين
Singapore,2020-04-01T00:00:00.000Z,1000,3,85296,103.8076536,1.35118038,Singapore,新加坡,Singapour,Singapur,Сингапур,سنغافورة
New Zealand,2020-04-01T00:00:00.000Z,723,1,85297,171.6039713,-41.83710689,New Zealand,新西兰,Nouvelle-Zélande,Nueva Zelandia,Новая Зеландия,نيوزيلندا
Viet Nam,2020-04-01T00:00:00.000Z,218,0,85298,106.3040353,16.65160342,Viet Nam,越南,Viet Nam,Viet Nam,Вьетнам,فييت نام
Brunei Darussalam,2020-04-01T00:00:00.000Z,131,1,85299,114.7613209,4.52147838,Brunei Darussalam,文莱达鲁萨兰国,Brunéi Darussalam,Brunei Darussalam,Бруней-Даруссалам ,بروني دار السلام
Cambodia,2020-04-01T00:00:00.000Z,109,0,85300,104.9212396,12.71402994,Cambodia,柬埔寨,Cambodge,Camboya,Камбоджа,كمبوديا
Guam,2020-04-01T00:00:00.000Z,77,3,85301,144.7758568,13.44403107,Guam,"关岛
",,,,
French Polynesia,2020-04-01T00:00:00.000Z,37,0,85302,-149.568,-17.532,French Polynesia,"法属波利尼西亚
",,,,
New Caledonia,2020-04-01T00:00:00.000Z,16,0,85303,165.6718498,-21.29461419,New Caledonia,"新喀里多尼亚
",,,,
Mongolia,2020-04-01T00:00:00.000Z,14,0,85304,103.0830311,46.83520872,Mongolia,蒙古,Mongolie,Mongolia,Монголия,منغوليا
