"","Country.Region","WHO.region","Dates","Cases","Date","Type","Date_Flag","lockdown","CENTER_LON","CENTER_LAT"
"1","Afghanistan","Eastern Mediterranean Region",2020-01-21,0,2020-03-24,1,0,1,66.02652977,33.83890116
"2","Afghanistan","Eastern Mediterranean Region",2020-01-22,0,2020-03-24,1,0,1,66.02652977,33.83890116
"3","Afghanistan","Eastern Mediterranean Region",2020-01-23,0,2020-03-24,1,0,1,66.02652977,33.83890116
"4","Afghanistan","Eastern Mediterranean Region",2020-01-24,0,2020-03-24,1,0,1,66.02652977,33.83890116
"5","Afghanistan","Eastern Mediterranean Region",2020-01-25,0,2020-03-24,1,0,1,66.02652977,33.83890116
"6","Afghanistan","Eastern Mediterranean Region",2020-01-26,0,2020-03-24,1,0,1,66.02652977,33.83890116
"7","Afghanistan","Eastern Mediterranean Region",2020-01-27,0,2020-03-24,1,0,1,66.02652977,33.83890116
"8","Afghanistan","Eastern Mediterranean Region",2020-01-28,0,2020-03-24,1,0,1,66.02652977,33.83890116
"9","Afghanistan","Eastern Mediterranean Region",2020-01-29,0,2020-03-24,1,0,1,66.02652977,33.83890116
"10","Afghanistan","Eastern Mediterranean Region",2020-01-30,0,2020-03-24,1,0,1,66.02652977,33.83890116
"11","Afghanistan","Eastern Mediterranean Region",2020-01-31,0,2020-03-24,1,0,1,66.02652977,33.83890116
"12","Afghanistan","Eastern Mediterranean Region",2020-02-01,0,2020-03-24,1,0,1,66.02652977,33.83890116
"13","Afghanistan","Eastern Mediterranean Region",2020-02-02,0,2020-03-24,1,0,1,66.02652977,33.83890116
"14","Afghanistan","Eastern Mediterranean Region",2020-02-03,0,2020-03-24,1,0,1,66.02652977,33.83890116
"15","Afghanistan","Eastern Mediterranean Region",2020-02-04,0,2020-03-24,1,0,1,66.02652977,33.83890116
"16","Afghanistan","Eastern Mediterranean Region",2020-02-05,0,2020-03-24,1,0,1,66.02652977,33.83890116
"17","Afghanistan","Eastern Mediterranean Region",2020-02-06,0,2020-03-24,1,0,1,66.02652977,33.83890116
"18","Afghanistan","Eastern Mediterranean Region",2020-02-07,0,2020-03-24,1,0,1,66.02652977,33.83890116
"19","Afghanistan","Eastern Mediterranean Region",2020-02-08,0,2020-03-24,1,0,1,66.02652977,33.83890116
"20","Afghanistan","Eastern Mediterranean Region",2020-02-09,0,2020-03-24,1,0,1,66.02652977,33.83890116
"21","Afghanistan","Eastern Mediterranean Region",2020-02-10,0,2020-03-24,1,0,1,66.02652977,33.83890116
"22","Afghanistan","Eastern Mediterranean Region",2020-02-11,0,2020-03-24,1,0,1,66.02652977,33.83890116
"23","Afghanistan","Eastern Mediterranean Region",2020-02-12,0,2020-03-24,1,0,1,66.02652977,33.83890116
"24","Afghanistan","Eastern Mediterranean Region",2020-02-13,0,2020-03-24,1,0,1,66.02652977,33.83890116
"25","Afghanistan","Eastern Mediterranean Region",2020-02-14,0,2020-03-24,1,0,1,66.02652977,33.83890116
"26","Afghanistan","Eastern Mediterranean Region",2020-02-15,0,2020-03-24,1,0,1,66.02652977,33.83890116
