"","Case.Status","WHO.region","Date","cases"
"1","Confirmed","Western Pacific Region",2020-01-21,0
"2","Confirmed","Western Pacific Region",2020-01-22,0
"3","Confirmed","Western Pacific Region",2020-01-23,0
"4","Confirmed","Western Pacific Region",2020-01-24,0
"5","Confirmed","Western Pacific Region",2020-01-25,0
"6","Confirmed","Western Pacific Region",2020-01-26,0
"7","Confirmed","Western Pacific Region",2020-01-27,0
"8","Confirmed","Western Pacific Region",2020-01-28,0
"9","Confirmed","Western Pacific Region",2020-01-29,0
"10","Confirmed","Western Pacific Region",2020-01-30,0
"11","Confirmed","Western Pacific Region",2020-01-31,0
"12","Confirmed","Western Pacific Region",2020-02-01,0
"13","Confirmed","Western Pacific Region",2020-02-02,0
"14","Confirmed","Western Pacific Region",2020-02-03,0
"15","Confirmed","Western Pacific Region",2020-02-04,0
"16","Confirmed","Western Pacific Region",2020-02-05,0
"17","Confirmed","Western Pacific Region",2020-02-06,0
"18","Confirmed","Western Pacific Region",2020-02-07,0
"19","Confirmed","Western Pacific Region",2020-02-08,0
"20","Confirmed","Western Pacific Region",2020-02-09,0
"21","Confirmed","Western Pacific Region",2020-02-10,0
"22","Confirmed","Western Pacific Region",2020-02-11,0
"23","Confirmed","Western Pacific Region",2020-02-12,0
"24","Confirmed","Western Pacific Region",2020-02-13,0
"25","Confirmed","Western Pacific Region",2020-02-14,0
"26","Confirmed","Western Pacific Region",2020-02-15,0
"27","Confirmed","Western Pacific Region",2020-02-16,0
"28","Confirmed","Western Pacific Region",2020-02-17,0
"29","Confirmed","Western Pacific Region",2020-02-18,0
"30","Confirmed","Western Pacific Region",2020-02-19,0
"31","Confirmed","Western Pacific Region",2020-02-20,0
"32","Confirmed","Western Pacific Region",2020-02-21,0
"33","Confirmed","Western Pacific Region",2020-02-22,0
"34","Confirmed","Western Pacific Region",2020-02-23,0
"35","Confirmed","Western Pacific Region",2020-02-24,0
"36","Confirmed","Western Pacific Region",2020-02-25,0
"37","Confirmed","Western Pacific Region",2020-02-26,0
"38","Confirmed","Western Pacific Region",2020-02-27,0
"39","Confirmed","Western Pacific Region",2020-02-28,0
"40","Confirmed","Western Pacific Region",2020-02-29,0
"41","Confirmed","Western Pacific Region",2020-03-01,0
"42","Confirmed","Western Pacific Region",2020-03-02,0
"43","Confirmed","Western Pacific Region",2020-03-03,0
"44","Confirmed","Western Pacific Region",2020-03-04,0
"45","Confirmed","Western Pacific Region",2020-03-05,0
"46","Confirmed","Western Pacific Region",2020-03-06,0
"47","Confirmed","Western Pacific Region",2020-03-07,0
"48","Confirmed","Western Pacific Region",2020-03-08,0
"49","Confirmed","Western Pacific Region",2020-03-09,0
"50","Confirmed","Western Pacific Region",2020-03-10,0
"51","Confirmed","Western Pacific Region",2020-03-11,0
"52","Confirmed","Western Pacific Region",2020-03-12,0
"53","Confirmed","Western Pacific Region",2020-03-13,0
"54","Confirmed","Western Pacific Region",2020-03-14,0
"55","Confirmed","Western Pacific Region",2020-03-15,0
"56","Confirmed","Western Pacific Region",2020-03-16,0
"57","Confirmed","Western Pacific Region",2020-03-17,91779
"58","Confirmed","Western Pacific Region",2020-03-18,91845
"59","Confirmed","Western Pacific Region",2020-03-19,92333
"60","Confirmed","Western Pacific Region",2020-03-20,93349
"61","Confirmed","Western Pacific Region",2020-03-21,94037
"62","Confirmed","Western Pacific Region",2020-03-22,94787
"63","Confirmed","Western Pacific Region",2020-03-23,95637
"64","Confirmed","Western Pacific Region",2020-03-24,96580
