"","Country.Region","CENTER_LAT","CENTER_LON","Cases","lockdown"
"1","Guatemala",15.7023026,-90.3569493,47,0
"2","Nicaragua",12.84006976,-85.03375025,5,0
"3","Cuba",21.62142096,-79.0381998,233,0
"4","Haiti",18.93900136,-72.68358014,16,0
"5","Saint Kitts and Nevis",17.26585656,-62.69617397,8,0
"6","Antigua and Barbuda",17.280137,-61.79112759,7,0
"7","Grenada",12.16251573,-61.65003909,10,0
"8","Dominica",15.43661252,-61.35549385,11,0
"9","Saint Vincent and the Grenadines",13.20205468,-61.20753009,2,0
"10","Guyana",4.79237827,-58.97416349,19,0
"11","Suriname",4.12671321,-55.91158124,8,0
"12","Brazil",-10.7722828,-53.08875436,6836,0
"13","Greenland",74.71895353,-41.39096667,10,0
"14","Cabo Verde",14.928,-23.545,5,0
"15","Guinea-Bissau",12.0161983,-14.98748401,9,0
"16","Sierra Leone",8.56034092,-11.7921029,2,0
"17","Guinea",10.43854094,-10.94182542,52,0
"18","Mauritania",20.25990361,-10.33226041,5,0
"19","Liberia",6.44811846,-9.30784656,6,0
"20","Benin",9.64764997,2.34326271,13,0
"21","Niger",17.42632282,9.39765754,74,0
"22","Equatorial Guinea",1.7101686,10.33849628,15,0
"23","Gabon",-0.59067797,11.79715762,18,0
"24","Cameroon",5.68580436,12.7432535,246,0
"25","Sweden",62.78774226,16.74115526,5466,0
"26","Libya",27.04404524,18.02318627,10,0
"27","Chad",15.3611457,18.66460339,7,0
"28","Central African Republic",6.57145342,20.48278081,8,0
"29","Zambia",-13.45307543,27.79788004,39,0
"30","Belarus",53.54021951,28.04696448,254,0
"31","Sudan",16.04883821,30.00438135,8,0
"32","Eswatini",-26.56211674,31.4971888,9,0
"33","Mozambique",-17.26019392,35.55226053,10,0
"34","Eritrea",15.35884102,38.85292555,20,0
"35","Djibouti",11.7498128,42.5779403,41,0
"36","Seychelles",-6.39906405,52.23005901,10,0
"37","Timor-Leste",-8.82052123,125.8609961,1,0
"38","Papua New Guinea",-6.47589335,145.2536876,1,0
"39","United States",45.6954816,-112.4935645,213600,1
"40","Mexico",23.95092841,-102.5349909,1378,1
"41","Canada",61.3930667,-98.26094698,10114,1
"42","El Salvador",13.73614532,-88.86560674,41,1
"43","Belize",17.21852829,-88.68278545,3,1
"44","Honduras",14.81934813,-86.61965899,219,1
"45","Costa Rica",9.97052135,-84.18903867,375,1
"46","Panama",8.50544318,-80.10906884,1317,1
"47","Ecuador",-1.42528337,-78.78096177,3163,1
"48","Jamaica",18.15133064,-77.31975081,44,1
"49","Peru",-9.16377133,-74.37540668,1323,1
"50","Colombia",3.90037401,-73.07576335,1065,1
"51","Chile",-37.86811922,-71.38009385,3404,1
"52","Dominican Republic",18.89309386,-70.48543447,1380,1
"53","Venezuela",7.12493711,-66.16621515,144,1
"54","Argentina",-35.37667253,-65.16748474,1133,1
"55","Bolivia",-16.71510989,-64.67054847,123,1
"56","Trinidad and Tobago",10.46836429,-61.25263722,90,1
"57","Saint Lucia",13.89811518,-60.96869084,13,1
"58","Barbados",13.17879902,-59.56212696,45,1
"59","Paraguay",-23.23612887,-58.39095178,77,1
"60","Uruguay",-32.79956992,-56.01217362,350,1
"61","Iceland",64.99764998,-18.6057026,1319,1
"62","Gambia",13.4529444,-15.3856196,4,1
"63","Senegal",14.36697954,-14.46817708,195,1
"64","Portugal",39.60269511,-8.46736074,9034,1
"65","Ireland",53.17708682,-8.1515763,3849,1
"66","Morocco",31.88355697,-6.31780295,735,1
"67","Spain",40.22749596,-3.64931118,110238,1
"68","Mali",17.35036933,-3.52433672,28,1
"69","United Kingdom",54.1601792,-2.90049476,33722,1
"70","Jersey",49.21949816,-2.12891773,81,1
"71","Burkina Faso",12.27793715,-1.73983521,261,1
"72","Ghana",7.95964382,-1.20704619,204,1
"73","Togo",8.53491037,0.97584596,39,1
"74","Andorra",42.54858297,1.57568833,429,1
"75","France",46.56487403,2.55042646,58327,1
"76","Algeria",28.16335741,2.63236595,986,1
"77","Belgium",50.64295176,4.66434841,15348,1
"78","Netherlands",52.2535763,5.60099776,14697,1
"79","Luxembourg",49.77096396,6.08754416,2487,1
"80","Monaco",43.75034615,7.41201715,52,1
"81","Nigeria",9.59360399,8.10527726,174,1
